id	text	target	category	polarity
1004293:0	judging previous post used good place longer 	place	RESTAURANT#GENERAL	negative
1004293:1	four u arrived noon place empty staff acted like imposing rude 	staff	SERVICE#GENERAL	negative
1004293:2	never brought u complimentary noodle ignored repeated request sugar threw dish table 	NULL	SERVICE#GENERAL	negative
1004293:3	food lousy sweet salty portion tiny 	food	FOOD#QUALITY	negative
1004293:3	food lousy sweet salty portion tiny 	portions	FOOD#STYLE_OPTIONS	negative
1004293:4	complained small tip 	NULL	SERVICE#GENERAL	negative
1004293:5	avoid place 	place	RESTAURANT#GENERAL	negative
1014458:0	eaten saul many time food always consistently outrageously good 	food	FOOD#QUALITY	positive
1014458:1	saul best restaurant smith street brooklyn 	Saul	RESTAURANT#GENERAL	positive
1014458:2	duck confit always amazing foie gras terrine fig world 	foie gras terrine with figs	FOOD#QUALITY	positive
1014458:2	duck confit always amazing foie gras terrine fig world 	duck confit	FOOD#QUALITY	positive
1014458:3	wine list interesting many good value 	wine list	DRINKS#STYLE_OPTIONS	positive
1014458:3	wine list interesting many good value 	wine list	DRINKS#PRICES	positive
1014458:4	price cannot eat well manhattan 	NULL	RESTAURANT#PRICES	positive
1014458:4	price cannot eat well manhattan 	NULL	FOOD#QUALITY	positive
1016296:0	disappointed restaurant 	restaurant	RESTAURANT#GENERAL	negative
1016296:1	ive asked cart attendant lotus leaf wrapped rice replied back rice walked away 	cart attendant	SERVICE#GENERAL	negative
1016296:2	ask three time finally came back dish ive requested 	NULL	SERVICE#GENERAL	negative
1016296:3	food okay nothing great 	Food	FOOD#QUALITY	neutral
1016296:4	chow fun dry pork shu mai usually greasy share table loud rude family 	Chow fun	FOOD#QUALITY	negative
1016296:4	chow fun dry pork shu mai usually greasy share table loud rude family 	pork shu mai	FOOD#QUALITY	negative
1016296:4	chow fun dry pork shu mai usually greasy share table loud rude family 	NULL	AMBIENCE#GENERAL	negative
1016296:5	never go back place 	place	RESTAURANT#GENERAL	negative
1028246:0	went 3 day oyster binge fish bringing closing glad place trip ended great 	Fish	RESTAURANT#GENERAL	positive
1028246:1	service devine oyster sensual come price beat 	Service	SERVICE#GENERAL	positive
1028246:1	service devine oyster sensual come price beat 	oysters	FOOD#QUALITY	positive
1028246:1	service devine oyster sensual come price beat 	NULL	RESTAURANT#PRICES	positive
1028246:2	go wrong 	NULL	RESTAURANT#GENERAL	positive
1032695:0	every time new york make point visit restaurant saul smith street 	Restaurant Saul	RESTAURANT#GENERAL	positive
1032695:1	everything always cooked perfection service excellent decor cool understated 	NULL	FOOD#QUALITY	positive
1032695:1	everything always cooked perfection service excellent decor cool understated 	service	SERVICE#GENERAL	positive
1032695:1	everything always cooked perfection service excellent decor cool understated 	decor	AMBIENCE#GENERAL	positive
1032695:2	duck breast special last visit incredible 	duck breast special	FOOD#QUALITY	positive
1032695:3	wait wait next visit 	NULL	RESTAURANT#GENERAL	positive
1041457:1	hate say doubt ll ever go back 	NULL	RESTAURANT#GENERAL	negative
1041457:2	food average thai fusion stuff bit sweet every thing serve sweet 	food	FOOD#QUALITY	negative
1041457:2	food average thai fusion stuff bit sweet every thing serve sweet 	Thai fusion stuff	FOOD#QUALITY	negative
1041457:2	food average thai fusion stuff bit sweet every thing serve sweet 	NULL	FOOD#QUALITY	negative
1041457:3	thing moderately enjoyed grilled chicken special edamame puree 	Grilled Chicken special with Edamame Puree	FOOD#QUALITY	positive
1041457:4	never edamame pureed thought innovative tasty could used bit salt 	Edamame pureed	FOOD#QUALITY	positive
1041457:4	never edamame pureed thought innovative tasty could used bit salt 	Edamame pureed	FOOD#STYLE_OPTIONS	positive
1041457:6	decor night tho really need clean vent ceiling quite un appetizing kill effort make place look sleek modern 	place	AMBIENCE#GENERAL	negative
1041457:6	decor night tho really need clean vent ceiling quite un appetizing kill effort make place look sleek modern 	decor	AMBIENCE#GENERAL	positive
1041457:6	decor night tho really need clean vent ceiling quite un appetizing kill effort make place look sleek modern 	vent	AMBIENCE#GENERAL	negative
1053543:2	sake list extensive looking purple haze wasn listed made u upon request 	sake list	DRINKS#STYLE_OPTIONS	positive
1053543:2	sake list extensive looking purple haze wasn listed made u upon request 	NULL	SERVICE#GENERAL	positive
1053543:3	spicy tuna roll unusually good rock shrimp tempura awesome great appetizer share 	spicy tuna roll	FOOD#QUALITY	positive
1053543:3	spicy tuna roll unusually good rock shrimp tempura awesome great appetizer share 	rock shrimp tempura	FOOD#QUALITY	positive
1053543:4	went around 9 30 friday died bit service great 	service	SERVICE#GENERAL	positive
1055910:0	love th pink pony 	pink pony	RESTAURANT#GENERAL	positive
1055910:1	perfect spot 	spot	RESTAURANT#GENERAL	positive
1055910:2	food awesome 	Food	FOOD#QUALITY	positive
1055910:3	service friendly attentive 	Service	SERVICE#GENERAL	positive
1055910:4	ambiance relaxed stylish 	Ambiance	AMBIENCE#GENERAL	positive
1055910:5	judge place prima facie try believe home away home literate heart 	place	RESTAURANT#GENERAL	positive
1058221:2	food decent 	food	FOOD#QUALITY	neutral
1058221:3	however service leaf bad taste mouth 	service	SERVICE#GENERAL	negative
1058221:4	happen policy go along little bit self respect includes letting waiter intimidate make feel bad asking triviality like water check 	waiter	SERVICE#GENERAL	negative
1058221:5	know busy showing vintage tee shirt looking bored agenda eat enjoy company friend seeking pleasant experience 	NULL	SERVICE#GENERAL	negative
1058221:6	well didn find trust told everyone think experience 	NULL	RESTAURANT#GENERAL	negative
1058221:7	last time walked looked pretty empty hmmm 	NULL	RESTAURANT#MISCELLANEOUS	negative
1062641:0	place got best japanese restaurant new york area 	place	RESTAURANT#GENERAL	positive
1062641:1	great experience 	NULL	RESTAURANT#GENERAL	positive
1062641:2	food great 	Food	FOOD#QUALITY	positive
1062641:3	service top notch 	Service	SERVICE#GENERAL	positive
1062641:4	going back 	NULL	RESTAURANT#GENERAL	positive
1064477:0	tend judge sushi restaurant sea urchin heavenly sushi rose 	sea urchin	FOOD#QUALITY	positive
1064477:1	melted little mouth perfect consistency fishy creamy slightly buttery 	NULL	FOOD#QUALITY	positive
1064477:2	sushi seemed pretty fresh adequately proportioned 	sushi	FOOD#QUALITY	positive
1064477:2	sushi seemed pretty fresh adequately proportioned 	sushi	FOOD#STYLE_OPTIONS	positive
1064477:3	rice fish ration also good didn try overpack rice 	rice to fish ration	FOOD#STYLE_OPTIONS	positive
1064477:4	took advanatage half price sushi deal saturday well worth 	half price sushi deal	FOOD#QUALITY	positive
1074868:2	surprisingly nothing could truth 	NULL	RESTAURANT#MISCELLANEOUS	positive
1074868:3	evening place attracted well dressed ny crowd 	crowd	RESTAURANT#MISCELLANEOUS	positive
1074868:4	food well prepared service impecable 	food	FOOD#QUALITY	positive
1074868:4	food well prepared service impecable 	service	SERVICE#GENERAL	positive
1074868:5	going back 	NULL	RESTAURANT#GENERAL	positive
1084394:1	quite simply like stepping manhattan haven tranquility 	NULL	AMBIENCE#GENERAL	positive
1084394:3	prix fixe menu worth every penny get enough quantity quality 	Prix Fixe menu	FOOD#QUALITY	positive
1084394:3	prix fixe menu worth every penny get enough quantity quality 	Prix Fixe menu	FOOD#STYLE_OPTIONS	positive
1084394:3	prix fixe menu worth every penny get enough quantity quality 	Prix Fixe menu	FOOD#PRICES	positive
1084394:4	going back heartily recommend 	NULL	RESTAURANT#GENERAL	positive
1086415:1	terrific value 	NULL	FOOD#QUALITY	positive
1086415:1	terrific value 	NULL	FOOD#PRICES	positive
1086415:2	6 much tasty food fresh continually refilled 	food	FOOD#STYLE_OPTIONS	positive
1086415:2	6 much tasty food fresh continually refilled 	food	FOOD#QUALITY	positive
1086415:2	6 much tasty food fresh continually refilled 	food	FOOD#PRICES	positive
1086415:3	vegetarian almost dish great 	dishes	FOOD#QUALITY	positive
1086415:5	go hungry enjoy 	NULL	RESTAURANT#GENERAL	positive
1086478:0	food rather good like wait 	food	FOOD#QUALITY	positive
1086478:0	food rather good like wait 	NULL	SERVICE#GENERAL	negative
1086478:1	like somosas chai chole dhosas dhal kinda dissapointing 	somosas	FOOD#QUALITY	positive
1086478:1	like somosas chai chole dhosas dhal kinda dissapointing 	chai	FOOD#QUALITY	positive
1086478:1	like somosas chai chole dhosas dhal kinda dissapointing 	chole	FOOD#QUALITY	positive
1086478:1	like somosas chai chole dhosas dhal kinda dissapointing 	dhosas	FOOD#QUALITY	negative
1086478:1	like somosas chai chole dhosas dhal kinda dissapointing 	dhal	FOOD#QUALITY	negative
1086478:2	service varys day day sometimes re nice sometimes 	service	SERVICE#GENERAL	negative
1086478:3	kitchen however almost always slow 	kitchen	SERVICE#GENERAL	negative
1086478:4	also specify like food spicy rather bland 	food	FOOD#QUALITY	negative
1086478:5	ambience pretty nice conversation casual lunch would probably best 	ambience	AMBIENCE#GENERAL	positive
1086478:5	ambience pretty nice conversation casual lunch would probably best 	NULL	RESTAURANT#MISCELLANEOUS	positive
1090587:1	ever along river weehawken idea top view chart house offer 	view	LOCATION#GENERAL	positive
1090587:2	add great service great food reasonable price beginning great evening 	service	SERVICE#GENERAL	positive
1090587:2	add great service great food reasonable price beginning great evening 	food	FOOD#QUALITY	positive
1090587:2	add great service great food reasonable price beginning great evening 	food	FOOD#PRICES	positive
1090587:3	lava cake dessert incredible recommend 	lava cake dessert	FOOD#QUALITY	positive
1102681:0	step cosette re miraculously small beaten path parisian bistro 	Cosette	AMBIENCE#GENERAL	positive
1102681:1	tiny restaurant cozy get certain parisian flair 	restaurant	AMBIENCE#GENERAL	positive
1102681:2	food average average french onion soup filling yet overly impressive dessert brilliant way 	food	FOOD#QUALITY	positive
1102681:2	food average average french onion soup filling yet overly impressive dessert brilliant way 	French Onion soup	FOOD#QUALITY	negative
1102681:2	food average average french onion soup filling yet overly impressive dessert brilliant way 	French Onion soup	FOOD#STYLE_OPTIONS	positive
1102681:2	food average average french onion soup filling yet overly impressive dessert brilliant way 	desserts	FOOD#QUALITY	negative
1102681:3	however go ambience consider food companion trip across world 	ambience	AMBIENCE#GENERAL	positive
1102681:3	however go ambience consider food companion trip across world 	food	FOOD#QUALITY	neutral
1118167:1	horrible 	NULL	RESTAURANT#GENERAL	negative
1118167:2	pizza delivered cold cheese wasn even fully melted 	pizza	FOOD#QUALITY	negative
1118167:2	pizza delivered cold cheese wasn even fully melted 	cheese	FOOD#QUALITY	negative
1118167:3	looked like shredded cheese partly done still strip 	NULL	FOOD#QUALITY	negative
1119578:0	got one overrated restaurant brooklyn 	NULL	RESTAURANT#GENERAL	negative
1119578:1	pizza overpriced soggy 	pizza	FOOD#QUALITY	negative
1119578:1	pizza overpriced soggy 	pizza	FOOD#PRICES	negative
1119578:2	yes use fancy ingredient even fancy ingredient make good pizza unless someone know get crust right 	ingredients	FOOD#QUALITY	positive
1119578:2	yes use fancy ingredient even fancy ingredient make good pizza unless someone know get crust right 	pizza	FOOD#QUALITY	negative
1119578:2	yes use fancy ingredient even fancy ingredient make good pizza unless someone know get crust right 	crust	FOOD#QUALITY	negative
1119578:3	big disappointment around 	NULL	RESTAURANT#GENERAL	negative
1123262:0	think best meal life minnow 	meals	FOOD#QUALITY	positive
1123262:1	seafood amazing good wine list ever changing menu always offer great surprise 	seafood	FOOD#QUALITY	positive
1123262:1	seafood amazing good wine list ever changing menu always offer great surprise 	wine list	DRINKS#STYLE_OPTIONS	positive
1123262:1	seafood amazing good wine list ever changing menu always offer great surprise 	menu	FOOD#STYLE_OPTIONS	positive
1123262:2	combination super fresh ingredient dish unusual really delicious 	ingredients	FOOD#QUALITY	positive
1123262:3	worth trip manhattan 	NULL	RESTAURANT#GENERAL	positive
1125006:1	best pastrami ever great portion without ridiculous 	Pastrami	FOOD#QUALITY	positive
1125006:1	best pastrami ever great portion without ridiculous 	portion	FOOD#STYLE_OPTIONS	positive
1125006:3	wife fried shrimp huge loved 	fried shrimp	FOOD#STYLE_OPTIONS	positive
1125006:3	wife fried shrimp huge loved 	fried shrimp	FOOD#QUALITY	positive
1125284:0	japanese native lived tristate area 8 year amazed place 	place	RESTAURANT#GENERAL	positive
1125284:1	place japanese ever get 	place	RESTAURANT#MISCELLANEOUS	positive
1125284:2	sign special menu food even waitstaff totally japanese 	signs	RESTAURANT#MISCELLANEOUS	positive
1125284:2	sign special menu food even waitstaff totally japanese 	specials menus	FOOD#STYLE_OPTIONS	positive
